flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,D8,,2026-06-15T03:15:00+00:00,2026-06-15T03:15:00+00:00,,,,Abu Dhabi International,Asia/Dubai,AUH,OMAA,A,C31,4,2026-06-15T06:45:00+00:00,15.0,,,,,Air Cambodia,K6,KHV,5401,K65401,KHV5401,etihad airways,ey,etd,401,ey401,etd401,,,,8966BE,,,,,,,,,,
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,C1,,2026-06-15T02:50:00+00:00,2026-06-15T02:50:00+00:00,,,,Qingdao,Asia/Shanghai,TAO,ZSQD,,,1,2026-06-15T08:25:00+00:00,,,,,,Air China,CA,CCA,8870,CA8870,CCA8870,shandong airlines,sc,cdg,4080,sc4080,cdg4080,,,,,,,,,,,,,,
2026-06-15,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,F6,,2026-06-15T02:35:00+00:00,2026-06-15T02:35:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,257,19,2026-06-15T10:15:00+00:00,15.0,,,,,Air Canada,AC,ACA,6291,AC6291,ACA6291,korean air,ke,kal,656,ke656,kal656,,,,71C556,,,,,,,,,,
2026-06-15,active,,Port Pirie,Australia/Adelaide,PPI,YPIR,,,,2026-06-15T02:00:00+00:00,2026-06-15T02:00:00+00:00,2026-06-15T01:52:00+00:00,2026-06-15T01:52:00+00:00,2026-06-15T01:52:00+00:00,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-06-15T02:27:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7C1B2B,,,,,,,,,,
2026-06-15,scheduled,,Vanimo,Pacific/Port_Moresby,VAI,AYVN,,,,2026-06-15T06:30:00+00:00,2026-06-15T06:30:00+00:00,,,,Boram,Pacific/Port_Moresby,WWK,AYWK,,,,2026-06-15T07:10:00+00:00,,,,,,Air Niugini,PX,ANG,141,PX141,ANG141,,,,,,,,,,,,,,,,,,,,
2026-06-15,scheduled,,Vanimo,Pacific/Port_Moresby,VAI,AYVN,,,,2026-06-15T06:15:00+00:00,2026-06-15T06:15:00+00:00,,,,Boram,Pacific/Port_Moresby,WWK,AYWK,,,,2026-06-15T07:15:00+00:00,,,,,,PNG Air,CG,TOK,8639,CG8639,TOK8639,,,,,,,,,,,,,,,,,,,,
2026-06-15,scheduled,,Esenboga International,Europe/Istanbul,ESB,LTAC,,,,2026-06-15T00:25:00+00:00,2026-06-15T00:25:00+00:00,,,,Carsamba,Europe/Istanbul,SZF,LTFH,,,,2026-06-15T01:25:00+00:00,,,,,,Turkish Airlines,TK,THY,4278,TK4278,THY4278,,,,,,,,,,4BAA93,,,,,,,,,,
2026-06-15,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,,,2026-06-15T06:55:00+00:00,2026-06-15T06:55:00+00:00,,,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-06-15T09:55:00+00:00,,,,,,Etihad Airways,EY,ETD,5937,EY5937,ETD5937,china eastern airlines,mu,ces,6662,mu6662,ces6662,,,,,,,,,,,,,,
2026-06-15,scheduled,,Shenzhen,Asia/Shanghai,SZX,ZGSZ,T3,"A,B",,2026-06-15T06:55:00+00:00,2026-06-15T06:55:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,,2026-06-15T09:00:00+00:00,,,,,,Sichuan Airlines,3U,CSC,1839,3U1839,CSC1839,china southern airlines,cz,csn,6849,cz6849,csn6849,,,,780488,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B8,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Zurich,Europe/Zurich,ZRH,LSZH,2,,,2026-06-15T08:15:00+00:00,,,,,,Croatia Airlines,OU,CTN,5815,OU5815,CTN5815,singapore airlines,sq,sia,346,sq346,sia346,,,,76CEF1,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B8,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Zurich,Europe/Zurich,ZRH,LSZH,2,,,2026-06-15T08:15:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3346,NZ3346,ANZ3346,singapore airlines,sq,sia,346,sq346,sia346,,,,76CEF1,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B8,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Zurich,Europe/Zurich,ZRH,LSZH,2,,,2026-06-15T08:15:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5806,MH5806,MAS5806,singapore airlines,sq,sia,346,sq346,sia346,,,,76CEF1,,,,,,,,,,
