flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2026-08-25,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,,,,2026-08-25T00:30:00+00:00,2026-08-25T00:30:00+00:00,,2026-08-25T00:30:00+00:00,,Launceston,Australia/Hobart,LST,YMLT,,,,2026-08-25T01:12:00+00:00,,,,,,Team Global Express,,TFX,93,,TFX93,,,,,C82AE2,,,,,,
2026-08-25,scheduled,,,Melbourne - Tullamarine Airport,Australia/Melbourne,MEL,YMML,2,18,,2026-08-25T00:30:00+00:00,2026-08-25T00:30:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-08-25T06:05:00+00:00,,,,,,VietJet Air,VJ,VJC,82,VJ82,VJC82,,,,,,,,,,,
2026-08-25,scheduled,,,Kansai International,Asia/Tokyo,KIX,RJBB,,,,2026-08-25T00:00:00+00:00,2026-08-25T00:00:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,,,,2026-08-25T01:40:00+00:00,,,,,,SF Airlines,O3,CSS,272,O3272,CSS272,,,,,,,,,,,
2026-08-25,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,,,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,,,,2026-08-25T02:50:00+00:00,,,,,,Korean Air,KE,KAL,319,KE319,KAL319,,,,,,,,,,,
2026-08-25,scheduled,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,,,New Ulaanbaator International Airport,,UBN,ZMCK,,,,2026-08-25T02:45:00+00:00,,,,,,MIAT Mongolian Airlines,OM,MGL,308,OM308,MGL308,,,,,,,,,,,
2026-08-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,2026-08-25T00:05:00+00:00,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-08-25T06:10:00+00:00,,,,,,Japan Airlines,JL,JTL,35,JL35,JTL35,,,,,,,,,,,
2026-08-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,H,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,2026-08-25T00:05:00+00:00,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2026-08-25T05:40:00+00:00,,,,,,Emirates,EK,UAE,313,EK313,UAE313,,,,,,,,,,,
2026-08-25,scheduled,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,I,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,2026-08-25T00:05:00+00:00,,Charles De Gaulle,Europe/Paris,CDG,LFPG,2E,,,2026-08-25T08:00:00+00:00,,,,,,Air France,AF,AFR,293,AF293,AFR293,,,,,,,,,,,
2026-08-25,scheduled,,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-08-25T00:50:00+00:00,2026-08-25T00:50:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,238,,2026-08-25T04:30:00+00:00,,,,,,Jin Air,LJ,JNA,916,LJ916,JNA916,,,,,71BA18,,,,,,
2026-08-25,scheduled,,,Guam International,Pacific/Guam,GUM,PGUM,,,,2026-08-25T00:50:00+00:00,2026-08-25T00:50:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,238,,2026-08-25T04:30:00+00:00,,,,,,Korean Air,KE,KAL,5780,KE5780,KAL5780,,,,,71BA18,jin air,lj,jna,916,lj916,jna916
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,I,,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,2026-08-25T00:05:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T06:35:00+00:00,,,,,,Malaysia Airlines,MH,MAS,274,MH274,MAS274,,,,,750579,,,,,,
2026-08-25,scheduled,,,Brisbane International,Australia/Brisbane,BNE,YBBN,I,82,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,2026-08-25T00:05:00+00:00,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-08-25T06:50:00+00:00,,,,,,Cathay Pacific,CX,CPA,156,CX156,CPA156,,,,,,,,,,,
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Oman Air,WY,OMA,5585,WY5585,OMA5585,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-08-25T07:20:00+00:00,,,,,,Aircalin,SB,ACI,740,SB740,ACI740,,,,,,,,,,,
2026-08-25,scheduled,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-08-25T07:20:00+00:00,,,,,,Singapore Airlines,SQ,SIA,6058,SQ6058,SIA6058,,,,,,aircalin,sb,aci,740,sb740,aci740
2026-08-25,scheduled,,,Tontouta,Pacific/Noumea,NOU,NWWW,,,,2026-08-25T01:00:00+00:00,2026-08-25T01:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-08-25T07:20:00+00:00,,,,,,Air France,AF,AFR,4022,AF4022,AFR4022,,,,,,aircalin,sb,aci,740,sb740,aci740
2026-08-25,scheduled,,,Novyy,Asia/Vladivostok,KHV,UHHH,,,,2026-08-25T00:05:00+00:00,2026-08-25T00:05:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-08-25T05:00:00+00:00,,,,,,Aeroflot,SU,AFL,654,SU654,AFL654,,,,,,,,,,,
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,SriLankan Airlines,UL,ALK,2120,UL2120,ALK2120,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Turkish Airlines,TK,THY,7902,TK7902,THY7902,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Thai Airways,TG,THA,5002,TG5002,THA5002,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Qatar Airways,QR,QTR,4970,QR4970,QTR4970,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,KLM,KL,KLM,4096,KL4096,KLM4096,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Fly Sky Airlines,FY,FSQ,7170,FY7170,FSQ7170,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Myanmar Airways International,8M,MMA,9588,8M9588,MMA9588,,,,,,malaysia airlines,mh,mas,132,mh132,mas132
2026-08-25,scheduled,,,Auckland International,Pacific/Auckland,AKL,NZAA,I,10,,2026-08-25T00:25:00+00:00,2026-08-25T00:25:00+00:00,,2026-08-25T00:25:00+00:00,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-08-25T07:55:00+00:00,,,,,,Malaysia Airlines,MH,MAS,132,MH132,MAS132,,,,,,,,,,,
2026-08-25,landed,,,Temora,Australia/Sydney,TEM,YTEM,,,,2026-08-25T10:15:00+00:00,2026-08-25T10:15:00+00:00,2026-08-24T11:02:00+00:00,2026-08-24T11:02:00+00:00,2026-08-24T11:02:00+00:00,Canberra,Australia/Sydney,CBR,YSCB,,,,2026-08-24T12:20:00+00:00,,,2026-08-24T11:48:00+00:00,2026-08-24T11:48:00+00:00,2026-08-24T11:48:00+00:00,empty,,,,,,,,,,7C717C,,,,,,
2026-08-24,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,126,,2026-08-24T16:25:00+00:00,2026-08-24T16:25:00+00:00,,2026-08-24T16:40:00+00:00,,Harbin,Asia/Shanghai,HRB,ZYHB,T2,,,2026-08-24T20:15:00+00:00,15.0,,,,,Shenzhen Airlines,ZH,CSZ,4935,ZH4935,CSZ4935,,,,,,air china,ca,cca,2735,ca2735,cca2735
2026-08-24,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,126,,2026-08-24T16:25:00+00:00,2026-08-24T16:25:00+00:00,,2026-08-24T16:40:00+00:00,,Harbin,Asia/Shanghai,HRB,ZYHB,T2,,,2026-08-24T20:15:00+00:00,15.0,,,,,Shandong Airlines,SC,CDG,5392,SC5392,CDG5392,,,,,,air china,ca,cca,2735,ca2735,cca2735
2026-08-24,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,39,,2026-08-24T16:15:00+00:00,2026-08-24T16:15:00+00:00,,2026-08-24T16:22:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,16,2026-08-24T18:40:00+00:00,7.0,,,,,China Eastern Airlines,MU,CES,3339,MU3339,CES3339,,,,,,sichuan airlines,3u,csc,6933,3u6933,csc6933
2026-08-24,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,39,,2026-08-24T16:15:00+00:00,2026-08-24T16:15:00+00:00,,2026-08-24T16:22:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,16,2026-08-24T18:40:00+00:00,7.0,,,,,Xiamen Air,MF,CXA,4785,MF4785,CXA4785,,,,,,sichuan airlines,3u,csc,6933,3u6933,csc6933
2026-08-24,active,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,39,,2026-08-24T16:15:00+00:00,2026-08-24T16:15:00+00:00,,2026-08-24T16:22:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,16,2026-08-24T18:40:00+00:00,7.0,,,,,China Express Airlines,G5,HXA,8761,G58761,HXA8761,,,,,,sichuan airlines,3u,csc,6933,3u6933,csc6933
