flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-29,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A12,,2026-06-29T00:45:00+00:00,2026-06-29T00:45:00+00:00,,,,Brisbane International,Australia/Brisbane,BNE,YBBN,I,81,I07,2026-06-29T10:20:00+00:00,,,,,,Turkish Airlines,TK,THY,9330,TK9330,THY9330,,,,,76CD19,singapore airlines,sq,sia,255,sq255,sia255,,,,,,,,,
2026-06-29,scheduled,,King Khaled International,Asia/Riyadh,RUH,OERK,4,,,2026-06-29T00:30:00+00:00,2026-06-29T00:30:00+00:00,,,,Nejran,Asia/Riyadh,EAM,OENG,,,,2026-06-29T02:15:00+00:00,,,,,,KLM,KL,KLM,3901,KL3901,KLM3901,,,,,7100AC,saudia,sv,sva,1845,sv1845,sva1845,,,,,,,,,
2026-06-29,scheduled,,King Khaled International,Asia/Riyadh,RUH,OERK,4,,,2026-06-29T00:30:00+00:00,2026-06-29T00:30:00+00:00,,,,Nejran,Asia/Riyadh,EAM,OENG,,,,2026-06-29T02:15:00+00:00,,,,,,Air France,AF,AFR,4283,AF4283,AFR4283,,,,,7100AC,saudia,sv,sva,1845,sv1845,sva1845,,,,,,,,,
2026-06-29,scheduled,,King Khaled International,Asia/Riyadh,RUH,OERK,3,,,2026-06-29T00:15:00+00:00,2026-06-29T00:15:00+00:00,,,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,1,2026-06-29T01:55:00+00:00,,,,,,Saudia,SV,SVA,6570,SV6570,SVA6570,,,,,71013B,flyadeal,f3,fad,161,f3161,fad161,,,,,,,,,
2026-06-29,scheduled,,Perth International,Australia/Perth,PER,YPPH,3,17A,,2026-06-29T06:30:00+00:00,2026-06-29T06:30:00+00:00,,,,Paraburdoo,Australia/Perth,PBO,YPBO,,,,2026-06-29T08:20:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7826,NZ7826,ANZ7826,,,,,,qantas,qf,qfa,6300,qf6300,qfa6300,,,,,,,,,
2026-06-29,scheduled,,Perth International,Australia/Perth,PER,YPPH,4,11,,2026-06-29T06:30:00+00:00,2026-06-29T06:30:00+00:00,,,,Port Hedland,Australia/Perth,PHE,YPPD,,,,2026-06-29T08:40:00+00:00,,,,,,Air New Zealand,NZ,ANZ,7421,NZ7421,ANZ7421,,,,,,qantas,qf,qfa,1636,qf1636,qfa1636,,,,,,,,,
2026-06-29,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-06-29T06:25:00+00:00,2026-06-29T06:25:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-29T11:45:00+00:00,,,,,,Virgin Australia,VA,VOZ,5524,VA5524,VOZ5524,,,,,,singapore airlines,sq,sia,224,sq224,sia224,,,,,,,,,
2026-06-29,scheduled,,Perth International,Australia/Perth,PER,YPPH,1,,,2026-06-29T06:25:00+00:00,2026-06-29T06:25:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-06-29T11:45:00+00:00,,,,,,Turkish Airlines,TK,THY,9317,TK9317,THY9317,,,,,,singapore airlines,sq,sia,224,sq224,sia224,,,,,,,,,
2026-06-29,scheduled,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,21,,2026-06-29T07:00:00+00:00,2026-06-29T07:00:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,04,2026-06-29T09:05:00+00:00,,,,,,Etihad Airways,EY,ETD,5925,EY5925,ETD5925,,,,,781336,china eastern airlines,mu,ces,5100,mu5100,ces5100,,,,,,,,,
2026-06-29,scheduled,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,21,,2026-06-29T07:00:00+00:00,2026-06-29T07:00:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,04,2026-06-29T09:05:00+00:00,,,,,,Delta Air Lines,DL,DAL,6381,DL6381,DAL6381,,,,,781336,china eastern airlines,mu,ces,5100,mu5100,ces5100,,,,,,,,,
2026-06-29,scheduled,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,21,,2026-06-29T07:00:00+00:00,2026-06-29T07:00:00+00:00,,,,Shanghai Pudong International,Asia/Shanghai,PVG,ZSPD,1,,04,2026-06-29T09:05:00+00:00,,,,,,Xiamen Air,MF,CXA,3554,MF3554,CXA3554,,,,,781336,china eastern airlines,mu,ces,5100,mu5100,ces5100,,,,,,,,,
2026-06-29,scheduled,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,E,,2026-06-29T07:00:00+00:00,2026-06-29T07:00:00+00:00,,,,Lanzhou Zhongchuan Airport,,LHW,ZLLL,T3,,,2026-06-29T09:20:00+00:00,,,,,,Hong Kong Airlines,HX,CRK,1133,HX1133,CRK1133,,,,,7820F6,hainan airlines,hu,chh,7197,hu7197,chh7197,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Xiamen Air,MF,CXA,6236,MF6236,CXA6236,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,AlphaSky,AS,JAG,5847,AS5847,JAG5847,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,LATAM Airlines,LA,LAN,7452,LA7452,LAN7452,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Iberia,IB,IBE,6296,IB6296,IBE6296,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Japan Airlines,JL,JTL,5582,JL5582,JTL5582,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
