flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,63,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,27,2026-09-22T12:40:00+00:00,,,,,,Xiamen Air,MF,CXA,3940,MF3940,CXA3940,china eastern airlines,mu,ces,5636,mu5636,ces5636,,,,7823FE,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T12:50:00+00:00,,,,,,Loong Air,GJ,CDC,3699,GJ3699,CDC3699,xiamen air,mf,cxa,8201,mf8201,cxa8201,,,,78047B,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T12:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4140,CZ4140,CSN4140,xiamen air,mf,cxa,8201,mf8201,cxa8201,,,,78047B,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T12:50:00+00:00,,,,,,Hebei Airlines,NS,HBH,8201,NS8201,HBH8201,xiamen air,mf,cxa,8201,mf8201,cxa8201,,,,78047B,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T12:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2349,3U2349,CSC2349,xiamen air,mf,cxa,8201,mf8201,cxa8201,,,,78047B,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,3,18,0.0,2026-09-22T10:55:00+00:00,2026-09-22T10:55:00+00:00,,2026-09-22T10:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T12:50:00+00:00,,,,,,China Express Airlines,G5,HXA,9167,G59167,HXA9167,xiamen air,mf,cxa,8201,mf8201,cxa8201,,,,78047B,,
2026-09-22,scheduled,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,61,0.0,2026-09-22T10:50:00+00:00,2026-09-22T10:50:00+00:00,,2026-09-22T10:50:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-09-22T12:30:00+00:00,,,,,,Capital Airlines,JD,CBJ,4028,JD4028,CBJ4028,hainan airlines,hu,chh,7460,hu7460,chh7460,,,,780E2B,,
2026-09-22,scheduled,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,214,0.0,2026-09-22T15:55:00+00:00,2026-09-22T15:55:00+00:00,,2026-09-22T15:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T18:40:00+00:00,,,,,,Capital Airlines,JD,CBJ,4066,JD4066,CBJ4066,hainan airlines,hu,chh,7798,hu7798,chh7798,,,,,,
2026-09-22,scheduled,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,214,0.0,2026-09-22T15:55:00+00:00,2026-09-22T15:55:00+00:00,,2026-09-22T15:55:00+00:00,,Changsha,Asia/Shanghai,CSX,ZGHA,2,,,2026-09-22T18:40:00+00:00,,,,,,Loong Air,GJ,CDC,7240,GJ7240,CDC7240,hainan airlines,hu,chh,7798,hu7798,chh7798,,,,,,
2026-09-22,scheduled,,Tianjin Binhai International,Asia/Shanghai,TSN,ZBTJ,2,264,0.0,2026-09-22T15:55:00+00:00,2026-09-22T15:55:00+00:00,,2026-09-22T15:55:00+00:00,,Hangzhou,Asia/Shanghai,HGH,ZSHC,4,,21,2026-09-22T18:05:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4199,ZH4199,CSZ4199,air china,ca,cca,2835,ca2835,cca2835,,,,780BF2,,
